Normalized,Occurrences,Lemma,POS,NormalizedID,MorphNotes,divine name?,divine name key,persname?,persname gender ,persname type ,persname key,persname link,title?,title type,title key,military?,military key,ethnicon?,ethnicon key,term of relationship?,relationship key,location?,location key,location link,date?,date type,calendar type,occupation?,occupation key,measure?,measure key,object?,object key,religious term?,religious term key,other?,other type,other key
Campestris,masa0830-1,Campestra,PROPN,w-campestris,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,food,,,,,
Cantabrorum,unkn0130-61,Cantabri,PROPN,w-cantabrorum,,,,,,,,,,,,y,unitname,y,tribe,,,,,,,,,,,,,,,,,,,
Capricorno,tsha0001-1,capricornus,PROPN,w-capricorno,,y,Capricornus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casesari,kara0001-17,Casesarus,PROPN,w-casesari,,,,y,m,other,Caesar,,,,,,,,,,,,,,,,,,,,,,,,,,,
causa,"caes0002-7, caes0031-18",causa,NOUN,w-causa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
causa.,"caes0002-7, caes0031-18",causa,NOUN,w-causa.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caustri,masa0948-2,Causter,NOUN,w-caustri,,,,y,m,other,Causter,,,,,,,,,,,,,,,,,,,,,,,,,,,
censor,"caes0027-11, unkn0130-16",censor,NOUN,w-censor,,,,,,,,,y,government,censor,,,,,,,,,,,,,,,,,,,,,,,
censori,"caes0027-11, unkn0130-16",censor,NOUN,w-censori,,,,,,,,,y,government,censor,,,,,,,,,,,,,,,,,,,,,,,
centurio,"caes0007-8, caes0119-4, caes0146-13, caes0148-6, caes0350-2",centurio,NOUN,w-centurio,,,,,,,,,y,military,centurion,y,rank,,,,,,,,,,,,,,,,,,,,,
civitatem,unkn0130-91,ciuitas,NOUN,w-civitatem,,,,,,,,,y ,military,centurion,y,rank,,,,,,,,,,,,,,,,,,,,,
Claudio,"caes0021-2, caes0145-2, caes0146-11",claudius,PROPN,w-claudio,,,,y,m,other,Claudius,,,,,,,,,,,,,,,,,,,,,,,,,,,
Claudius,"caes0021-2, caes0145-2, caes0146-11",claudius,PROPN,w-claudius,,,,y,m,other,Claudius,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clemens,caes0006-10,clemens,PROPN,w-clemens,,,,y,m,other,Clemens,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cleopatra,caes0044-8,cleopatra,PROPN,w-cleopatra,,,,y,f,other,Cleopatra,,,,,,,,,,,,,,,,,,,,,,,,,,,
cohors,"jeru0494-18, unkn0130-32",cohors,NOUN,w-cohors,,,,,,,,,,,,y,cohors,,,,,,,,,,,,,,,,,,,,,
cohortibus,"jeru0494-18, unkn0130-32",cohors,NOUN,w-cohortibus,,,,,,,,,,,,y,cohors,,,,,,,,,,,,,,,,,,,,,
Coloniae,"caes0003-6, caes0044-1, caes0122-4",colonia,PROPN,w-coloniae,,,,,,,,,,,,,,,,,,y,generic,,,,,,,,,,,,,,,
